probe	qSC_1	qSC_2	aSC_1	aSC_2	TAC_1	TAC_2	gene.symbol								
1428918_at	6.8099	6.5947	6.4881	6.8381	7.1340	7.4388	Scyl3								
1428919_at	7.2154	6.9485	7.3575	6.9670	8.1297	8.8843	Fgfr1op								
1428920_at	4.2313	4.1227	3.9523	4.2698	4.1601	3.9679	Hmg20a								
1428921_at	5.7403	5.4889	5.3389	5.4246	5.2742	5.7396	NA								
1428922_at	6.9508	4.7231	8.0708	8.2201	4.8848	5.2057	Tril								
1428923_at	3.3115	3.5774	3.3115	3.0387	3.0272	3.1069	Ppp1r3g								
1428924_at	6.0636	6.0941	5.7573	6.1910	6.0996	6.1677	Mocs3								
1428925_at	4.9290	4.8408	4.8571	5.0277	5.3535	5.6268	Senp1								
1428926_at	6.2874	6.4628	5.7998	6.3117	6.0782	6.1203	Fbxo31								
1428927_at	5.7593	5.5879	6.0453	5.9640	6.4701	6.6445	Shq1								
1428928_at	4.5152	4.6364	4.9808	4.6058	4.2091	4.3187	Cacnb4								
1428929_s_at	6.2953	6.2973	5.9844	6.2226	6.0380	6.2475	Slc25a26								
1428930_at	6.9799	7.0914	7.1226	7.3032	7.3585	7.3291	Tmem29								
1428931_a_at	6.5906	6.2535	6.0306	6.7194	6.4196	6.4101	Parp6								
1428932_at	3.5525	3.2084	3.3711	3.5513	3.6489	3.2892	Ttc21a								
1428933_at	3.3250	3.2888	2.3495	2.4533	3.0368	3.1151	Hdac8								
1428934_at	3.3893	3.3844	3.3946	3.2969	3.3361	3.5036	Cmtm2b								
1428935_at	6.9204	6.7632	7.0749	6.8466	6.8964	7.0573	Canx								
1428936_at	7.2927	6.6647	7.2260	6.6675	7.2964	6.9173	Atp2b1								
1428937_at	7.0240	6.6495	7.0614	6.7641	7.2764	7.4185	Atp2b1								
1428938_at	6.4931	6.2813	6.8924	6.8223	5.9985	6.3492	Gnaq								
1428939_s_at	6.4827	5.7683	6.6947	6.1530	5.4752	5.6202	Gnaq								
1428940_at	5.7470	5.5185	5.5761	5.3881	5.2483	4.9141	Gnaq								
1428941_at	4.5546	4.1960	4.3624	4.5608	4.5679	4.8552	Zmym2								
1428942_at	12.6545	13.5556	11.9848	11.0657	13.7902	13.8879	Mt2								
1428943_at	5.9555	5.9811	5.8965	5.8354	5.8965	6.0039	Nudt13								
1428944_at	6.9252	6.6931	6.9005	6.4478	7.0359	7.2476	Uba6								
1428945_at	7.5231	7.2478	7.4841	6.9552	7.2102	7.6108	Uba6								
1428946_at	4.9893	4.8871	4.8352	4.8935	5.2449	5.2603	Uba6								
1428947_at	4.2965	4.7611	4.7681	4.3648	4.8615	4.6055	Mzb1								
1428948_at	7.8530	8.2319	4.3807	4.6334	2.6752	2.3056	Kcnma1								
1428949_at	8.7566	8.9463	9.1038	9.1935	9.6822	10.1235	Xpot								
1428950_s_at	6.4856	6.2834	5.7899	5.6476	6.1733	6.5819	Nol8								
1428951_at	7.0095	6.9722	6.3592	5.7632	6.7337	6.7409	Nol8								
1428952_at	2.7957	2.8517	3.5291	3.1765	3.5061	3.3723	Pdia2								
1428953_at	7.6274	7.2925	6.9764	7.0056	6.5320	6.8231	Otud7b								
1428954_at	6.1577	6.4750	6.1930	6.1177	5.7254	6.0756	Slc9a3r2								
1428955_x_at	5.4508	5.4508	5.4792	5.5712	5.3511	5.4879	Slc9a3r2								
1428956_at	5.0068	5.0559	4.9973	5.0875	4.9051	5.2688	Tmem177								
1428957_at	5.6707	5.6406	5.3971	5.7568	5.7723	5.8783	Tmem177								
1428958_at	4.3958	4.3868	4.2201	3.9505	4.2557	3.9989	Paqr8								
1428959_at	3.9710	3.8913	4.0985	3.8215	3.9001	3.5924	Tespa1								
1428960_at	2.9329	3.6909	2.8286	3.0935	3.0416	3.0856	Enkur								
1428961_a_at	8.7714	8.2959	9.0326	9.1600	7.6124	7.8794	Clasrp								
1428962_at	3.7101	4.1464	4.1410	3.8525	3.5829	3.4510	1700013F07Rik								
1428963_at	5.0908	5.1663	4.7419	4.7417	4.5162	4.5856	Rwdd2a								
1428964_at	4.1160	4.1037	4.2197	4.0222	4.1151	3.8806	Slc25a18								
1428965_at	2.4272	2.6421	2.5689	2.8787	2.6033	2.6421	Ccdc54								
1428966_at	9.1988	9.0440	8.9230	8.9780	9.0003	9.0372	NA								
1428967_at	7.9176	7.5470	7.7102	7.6680	7.0516	7.7477	Igf1r								
1428968_at	7.0815	6.8652	6.8697	6.2279	7.2562	7.6668	Cep57								
1428969_at	8.8246	8.5018	8.7185	8.3482	8.6686	9.0801	Trappc8								
1428970_at	7.1636	6.7906	7.4572	7.0587	7.7032	7.9926	Naa50								
1428971_at	9.1065	9.0793	8.9457	8.9897	8.9997	9.3007	Ccny								
1428972_at	8.2937	8.4187	8.6627	8.3964	8.2886	8.3470	Tctex1d2								
1428973_s_at	8.3047	8.2874	8.4699	8.3737	8.6353	8.7890	Tctex1d2								
1428974_s_at	6.6536	6.8375	6.1994	5.4487	6.1362	6.0798	Lztfl1								
1428975_at	4.7944	4.9408	4.8811	4.8003	4.8132	4.5118	Susd3								
1428976_at	8.2698	8.3171	8.6810	8.1643	9.7550	10.0922	Tmpo								
1428977_at	3.5536	3.9240	3.7420	3.3114	4.0617	4.0222	Chst8								
1428978_at	4.5984	4.6611	4.2662	4.4027	3.9183	4.3470	2900009J20Rik								
1428979_at	6.7482	6.3221	6.0770	6.3441	5.9131	6.3027	Mtf1								
1428980_at	6.8613	6.7800	4.7344	4.3795	6.0456	4.7526	Kprp								
1428981_at	2.5062	2.3758	2.1633	2.3220	2.1251	2.2623	2810007J24Rik								
1428982_at	8.7622	8.4812	8.8542	8.6652	9.6287	10.1750	Atad2b								
1428983_at	6.4871	6.1683	6.3972	6.9432	4.5155	5.8127	Scx								
1428984_a_at	2.9907	3.1661	3.2584	2.8529	3.2716	2.8755	1700012B09Rik								
1428985_at	7.2706	7.2089	6.7327	6.7839	5.7152	6.2516	Ints12								
1428986_at	3.7631	3.6701	3.9010	3.8707	3.7693	3.6429	Slc17a7								
1428987_at	2.9457	2.7829	2.7599	2.9747	3.4434	3.2418	Dynlrb2								
1428988_at	7.9034	8.2260	7.3664	7.7772	5.2374	5.0303	Abcc3								
1428989_at	5.0481	5.0330	4.9600	5.1422	5.1886	5.1355	0710001D07Rik								
1428990_at	5.0978	4.8681	5.0897	5.1409	4.5213	4.3017	2310047K21Rik								
1428991_at	2.5283	2.8765	2.5538	2.6380	2.6280	2.4371	Hrasls								
1428992_at	4.6770	4.8880	4.4831	4.9438	5.1275	4.8152	Unc13d								
1428993_at	5.0934	4.6243	5.2364	4.6325	4.7006	4.5790	Ucma								
1428994_s_at	3.4139	2.8019	2.9310	2.7772	2.7933	2.8833	Ucma								
1428995_at	5.1561	5.3679	5.3688	5.0377	5.4707	4.9257	Smpd5								
1428996_at	5.0924	4.9039	5.6603	5.4333	6.0142	6.8355	Pdp2								
1428997_at	8.8630	8.8311	9.0932	9.5807	9.2418	9.2393	Phf23								
1428998_at	8.9682	8.7424	8.3927	8.1157	7.9563	8.0206	Phf3								
1428999_at	5.5497	5.3941	4.7143	4.6854	5.1628	4.8713	Phf3								
1429000_at	6.4871	6.2786	6.2254	5.9934	6.1630	5.9978	Phf3								
1429001_at	8.7338	9.0523	6.8001	7.0779	8.0391	6.5438	Pir								
1429002_at	9.6019	9.5031	9.2027	9.0357	9.1602	9.4129	Snw1								
1429003_at	8.2851	8.5586	8.1712	8.0086	8.2961	8.3036	Snw1								
1429004_at	8.8139	8.8292	8.3291	7.8349	7.7514	7.5740	Phip								
1429005_at	9.6981	9.2699	9.7470	9.8107	8.5414	8.6081	Mfhas1								
1429006_s_at	5.1694	5.2301	4.4871	5.3596	4.5787	4.7026	Atat1								
1429007_at	4.5475	4.7367	5.0838	5.3854	5.2952	5.0789	Slc35b2								
1429008_at	6.5623	6.2460	6.4236	6.1621	6.7113	6.9946	Ufl1								
1429009_at	7.1875	6.9073	5.9663	6.2126	5.4625	5.7370	Snrnp70								
1429010_at	4.5248	4.3905	4.2962	4.4525	4.5145	4.0950	Snrnp70								
1429011_x_at	4.3704	4.8237	4.7645	4.8234	4.6858	4.5593	Snrnp70								
1429012_at	5.3356	5.2970	5.6702	5.3662	5.2989	5.2872	Arhgef6								
1429013_at	3.2469	3.2574	3.2519	3.1366	3.4269	3.4499	Map7d2								
1429014_at	3.2623	3.5277	3.4017	3.5841	3.2109	3.4201	NA								
1429015_at	3.8334	4.2719	3.6793	4.0206	4.0151	3.7875	NA								
1429016_at	4.3946	4.2509	4.0292	4.2792	4.1470	4.1943	NA								
1429017_at	7.6246	7.3196	6.7184	7.1177	6.6996	7.0134	Smcr8								
1429018_at	6.4934	6.5013	6.3839	6.4759	6.3651	6.2800	Hrct1								
1429019_s_at	10.1227	9.8013	9.9933	10.2613	9.4017	9.3260	Pon2								
1429020_at	5.4145	4.9047	5.2688	5.7513	4.7095	4.7455	Pon2								
1429021_at	8.1251	7.6729	9.1601	8.2951	8.0489	8.1251	Epha4								
1429022_at	4.1160	3.8100	4.0958	3.7600	3.8940	4.0885	Adcyap1r1								
1429023_at	3.1694	3.1855	3.3992	2.9678	2.9031	2.8463	Hepacam								
1429024_at	4.2532	4.3470	4.4087	4.0824	4.9176	5.0612	Rbm20								
1429025_a_at	3.5284	3.8648	3.3044	3.8423	3.7735	3.6787	Hexim2								
1429026_at	5.4170	5.1671	5.1067	5.2374	5.1114	4.9824	Hexim2								
1429027_at	6.9445	7.2201	7.2468	7.1020	5.3528	5.5711	0610007N19Rik								
1429028_at	8.3123	7.9820	8.0582	7.6725	7.2349	7.5581	Dock11								
1429029_at	6.0329	5.6107	5.5773	5.7911	4.6167	4.9958	Sgms2								
1429030_at	3.0048	3.1508	3.0412	3.0848	3.2829	3.1508	C1qtnf7								
1429031_at	7.5441	7.2090	6.7744	6.5954	6.5320	6.8445	4833408D11Rik								
1429032_at	6.2249	6.0727	6.4436	6.2953	6.5585	6.4875	Micalcl								
1429033_at	6.7673	6.7774	7.0995	7.3250	6.7850	6.4678	Gcc1								
1429034_at	4.6522	4.8592	5.0361	5.1836	5.1125	4.7791	Eme2								
1429035_at	3.3763	3.1961	3.5001	3.1036	3.4559	3.2657	Dpep3								
1429036_at	3.5301	4.0113	3.6346	4.0384	4.1724	4.1863	Otop3								
1429037_at	2.6892	2.4492	2.1463	2.2502	2.2638	2.0985	1700019A02Rik								
1429038_at	6.8972	7.1019	7.0650	7.9141	7.8454	8.0105	Dda1								
1429039_s_at	7.8712	7.9889	7.8870	8.3441	7.9754	8.2210	Dda1								
1429040_at	5.9698	5.9656	6.1143	6.1464	6.1832	6.3669	NA								
1429041_at	5.2635	5.1626	4.8650	5.3501	5.2246	5.0893	2610005L07Rik								
1429042_at	8.2631	7.8358	7.7812	8.0198	7.4801	7.5160	Tmem167b								
1429043_at	7.8232	7.7844	8.0297	8.0751	7.9232	8.4563	Smndc1								
1429044_at	8.9066	8.9215	8.5539	8.2315	8.2327	8.2106	Camsap2								
1429045_at	7.8265	7.7167	7.7459	7.4249	8.1931	7.9201	Smurf2								
1429046_at	6.5147	6.5410	6.1959	6.2214	6.4034	6.4510	Smurf2								
1429047_at	7.9943	7.9794	7.7076	7.6187	7.7290	8.3330	Rtf1								
1429048_at	8.3666	8.3651	8.6106	8.6670	9.3830	9.5679	Bloc1s2a								
1429049_at	5.7464	6.1985	6.2261	6.6422	6.9889	6.5851	Nuak2								
1429050_at	8.8241	8.6855	8.6632	8.5550	8.1229	8.0148	Chic2								
1429051_s_at	3.2000	3.2725	3.4737	3.3604	3.4001	3.3050	Sox11								
1429052_at	2.9907	3.1362	3.2241	3.0316	3.1271	3.0225	Ptprd								
1429053_at	3.9036	3.3122	3.5905	3.5018	5.4502	6.8048	Soga2								
1429054_at	8.2314	8.0333	7.8159	7.9310	8.6653	9.0132	Mrpl47								
1429055_at	8.3202	8.2686	8.4993	8.6996	7.7236	8.0377	4930506M07Rik								
1429056_at	7.0669	6.8040	6.5068	6.3675	7.0060	7.4107	Naa16								
1429057_at	6.5557	6.3788	6.1515	6.1066	6.6809	7.2591	Naa16								
1429058_at	10.5010	10.8350	10.0218	10.6157	10.0373	10.5615	Tmem107								
1429059_s_at	7.8054	8.1079	7.1000	7.7754	7.2746	7.7490	Tmem107								
1429060_at	8.9561	8.0354	6.6292	6.4936	6.5915	5.8272	Malat1								
1429061_at	6.5590	6.1662	6.9001	6.7870	6.7423	7.6381	Coa6								
1429062_at	6.3544	6.0491	5.9198	5.9007	5.9742	6.4437	Kif16b								
1429063_s_at	7.1159	7.0761	7.0264	6.6214	7.1790	7.2308	Kif16b								
1429064_at	8.0832	8.3635	7.3301	7.2190	6.7480	7.1984	Dip2c								
1429065_at	7.3411	7.0283	7.0332	6.3228	4.9010	4.9767	NA								
1429066_at	6.0482	6.2318	5.9093	5.8021	5.1890	5.1951	4930565B19Rik								
1429067_at	12.5070	12.3468	11.5907	12.2746	10.7393	9.8912	Capns2								
1429068_at	3.4162	3.5647	3.3831	3.3650	3.4968	3.2899	A430035B10Rik								
1429069_at	6.1999	6.4157	5.5941	5.9079	6.2121	5.9089	NA								
1429070_at	5.1345	5.5665	4.9638	5.6561	5.0902	5.6066	Naif1								
1429071_at	4.1160	4.0307	3.6952	3.7088	3.1838	3.3747	Me3								
1429072_at	3.2846	3.5408	3.6406	3.7800	3.5332	3.6480	Col6a4								
1429073_at	5.8506	5.9851	5.6980	5.4825	5.8958	5.4480	2210015D19Rik								
1429074_at	3.0261	3.1391	3.1485	3.0703	3.1441	3.0587	1700026D08Rik								
1429075_a_at	4.7705	4.4865	4.5442	4.4044	4.6326	4.5218	1700018B08Rik								
1429076_a_at	5.6021	5.8767	5.2675	5.4016	5.9825	5.4230	Gdpd2								
1429077_x_at	13.8717	13.9386	13.9370	13.7846	13.8795	13.8813	NA								
1429078_a_at	7.1436	7.1485	6.9963	7.4318	7.5457	7.7577	Cops7a								
1429079_a_at	9.0484	9.0239	9.7163	9.8772	9.5459	9.5567	NA								
1429080_at	7.7954	7.5284	7.7881	7.2604	8.3045	8.6114	Mphosph10								
1429081_at	7.5453	7.3043	7.0824	6.9265	6.8123	6.8973	Gcc2								
1429082_at	6.5076	6.0625	6.8170	6.7323	7.3263	7.5721	Ankle2								
1429083_at	6.5892	6.3901	7.1830	6.3621	6.1059	6.3822	Agl								
1429084_at	5.1989	5.2934	5.3742	5.3238	5.0551	5.2987	Vezf1								
1429085_at	9.3994	9.1691	8.8271	8.7988	8.4311	8.9118	Vezf1								
1429086_at	8.5314	8.8383	8.4991	8.6245	9.5764	9.7020	Gm16136								
1429087_at	5.5702	5.3058	4.7818	5.0082	5.5916	5.9852	Inip								
1429088_at	6.6816	4.6649	7.7483	8.1801	7.1418	7.4042	Lbh								
1429089_s_at	9.4919	9.2087	9.0305	9.7738	7.0815	7.1846	2900026A02Rik								
1429090_at	3.7178	3.8651	4.1802	4.2589	4.1743	4.1182	Ggct								
1429091_at	7.4122	7.6159	7.0668	7.2509	7.7803	7.4932	1600002K03Rik								
1429092_at	7.5948	7.3312	8.0036	8.0803	8.4320	8.4501	Vkorc1l1								
1429093_at	7.4814	6.9950	7.4075	7.1357	7.7804	7.9283	Ddi2								
1429094_at	5.8773	5.7911	5.7061	6.0364	6.8702	6.6882	Ddi2								
1429095_at	6.4667	6.5041	6.2319	5.4146	8.0561	8.2700	Cenpp								
1429096_at	6.5137	5.8566	5.9231	5.6354	4.9824	5.8443	2810455D13Rik								
1429097_at	7.6645	7.6871	7.3390	6.8613	6.0019	5.7070	Rnf150								
1429098_s_at	4.7763	5.1064	4.9913	5.1255	5.4300	5.7356	Nhej1								
1429099_at	4.5402	5.4223	5.0245	4.9342	4.7847	4.0656	NA								
1429100_at	7.5457	8.2068	6.4837	7.3219	5.9357	6.4754	Ccdc71l								
1429101_at	3.7017	4.0361	3.9708	3.7397	3.5085	3.7507	Zfp697								
1429102_at	3.0597	2.9861	3.5799	3.1670	3.0465	3.5133	Arrdc5								
1429103_at	9.7396	9.7034	9.9353	10.1829	10.6675	10.6333	Tomm22								
1429104_at	5.4756	5.4753	6.2619	6.1505	6.2293	6.2939	NA								
1429105_at	3.0059	3.0076	3.5995	3.5354	3.4896	3.4523	Dlgap1								
1429106_at	7.8394	7.3963	7.9769	7.6433	6.9950	6.2066	NA								
1429107_at	6.9963	6.7597	7.0239	6.8978	6.9281	6.9796	Ubr3								
1429108_at	7.0439	7.0070	6.7126	6.5543	6.0694	6.4592	Msl2								
1429109_at	8.4903	8.3881	8.0581	7.8114	7.9462	8.1830	Msl2								
1429110_a_at	6.0978	5.9850	5.9329	6.1934	6.1230	6.4172	Nsun4								
1429111_at	5.7113	5.6121	6.8722	6.7355	7.1087	7.6668	Tln2								
1429112_at	4.0936	4.0113	4.2232	4.1250	3.9162	4.0984	Tln2								
1429113_at	3.2983	3.2382	3.0538	3.1338	2.7612	2.6789	NA								
1429114_at	5.1024	5.3133	5.2264	5.1915	4.5499	4.5697	Sestd1								
1429115_at	9.0322	9.1418	8.4227	8.4090	8.2207	7.7685	2010003O02Rik								
1429116_at	7.6787	7.5714	7.4134	7.1702	7.4848	7.5283	Slc17a5								
1429117_at	6.9427	6.8074	6.6899	7.2912	6.5285	6.8330	Tradd								
1429118_a_at	4.7978	5.0973	4.4741	4.9941	4.7630	5.7049	Gin1								
1429119_at	8.6852	8.5609	9.1374	9.0588	9.0143	8.6242	Iah1								
1429120_at	3.4106	3.7177	3.6387	3.6511	3.2577	3.4671	Lnp								
1429121_at	5.5453	5.4101	5.5353	5.7224	5.7061	6.1629	Spopl								
1429122_a_at	7.9447	7.6831	8.3131	8.6081	8.6620	8.6081	Pradc1								
1429123_at	4.0037	4.0037	3.8487	3.8060	4.6155	4.2756	Rab27a								
1429124_s_at	6.5655	6.4935	6.2770	6.8759	6.9559	7.0744	Rexo1								
1429125_at	7.1324	6.9758	6.8533	7.3514	6.5306	6.9661	NA								
1429126_at	6.5822	6.7210	7.0790	6.7536	7.5408	7.7332	NA								
1429127_at	8.0881	8.0667	8.5289	8.8658	7.7609	7.7457	Nradd								
1429128_x_at	7.4851	7.3641	7.6861	7.5781	7.4529	7.1930	Nfkb2								
1429129_at	3.9980	3.8121	4.0729	3.4025	3.4535	3.7227	Lrrcc1								
1429130_at	3.1348	3.3500	2.8286	2.8176	3.1878	2.9275	Ttc25								
1429131_at	7.1451	6.9730	6.2837	6.0417	6.1731	5.9185	Ube2v2								
1429132_at	3.5421	3.6640	3.7496	3.8571	3.4333	3.6870	Ube2v2								
1429133_at	3.4224	3.3368	3.7439	3.7177	3.7177	3.4497	Nxnl2								
1429134_at	7.6751	7.8642	7.3078	6.9026	7.6354	8.2798	Hivep3								
1429135_at	3.9016	3.5526	4.1665	3.6557	3.9777	3.8590	1110059M19Rik								
1429136_at	5.3706	4.6364	5.5433	5.6937	5.5301	5.4843	1700052K11Rik								
1429137_at	5.7708	6.1205	4.7802	5.3175	5.7565	6.2961	Mettl18								
1429138_at	2.3780	2.8278	2.5520	2.4872	2.5145	2.5522	Npas3								
1429139_at	6.9315	6.9723	6.4050	6.2322	5.3173	5.9023	Otud7b								
1429140_at	6.5698	6.9154	6.3700	6.1160	6.4202	6.2379	Spns3								
1429141_at	4.5513	4.9487	4.8166	4.9229	4.8057	4.6782	Neurl2								
1429142_at	3.3345	3.4411	3.0707	3.0645	3.1935	2.9242	1700012A03Rik								
1429143_at	3.9807	4.1643	3.9896	3.7807	4.1724	3.9896	Tekt3								
1429144_at	7.0605	6.3901	7.4662	7.2131	8.0181	7.5364	Gpcpd1								
1429145_at	6.6051	6.9494	6.2990	7.0612	6.7299	7.7754	Nhlrc2								
1429146_at	3.5969	4.2323	3.5475	3.4618	3.9625	4.6664	Svip								
1429147_at	3.2948	3.5954	3.1584	3.2696	3.2378	3.3561	NA								
1429148_at	4.7628	4.8076	5.0870	5.7581	4.7450	4.9214	Nfic								
1429149_at	5.8395	5.6427	6.0871	5.4780	6.4844	6.8885	Gins3								
1429150_at	6.4286	6.3255	5.8966	5.7220	6.5856	6.9029	Ccdc77								
1429151_at	10.0516	10.0167	10.1334	10.2723	9.7624	10.1518	Dcaf7								
1429152_at	6.9041	6.8883	6.5721	5.8484	6.3136	6.1069	Zkscan1								
1429153_at	6.2687	5.8332	5.7154	5.8636	5.5301	5.2719	6530406A20Rik								
1429154_at	4.3029	3.9099	4.0524	4.3922	5.1586	5.2347	Slc35f2								
1429155_at	7.7265	7.5378	7.2269	6.9895	6.3671	6.5881	4933411K20Rik								
1429156_at	4.6384	4.5962	6.2508	5.2381	8.3233	8.2065	Cenpw								
1429157_at	4.3322	4.7599	4.2218	4.0582	4.2437	4.4996	Hhipl2								
1429158_at	6.0683	5.1515	5.9609	6.4102	6.2023	6.4440	Fbxo28								
1429159_at	8.3419	7.5556	8.9376	9.2067	7.4359	7.2486	Itih5								
1429160_at	7.3623	7.3388	6.6878	7.0315	6.8223	6.6136	Mtif3								
1429161_at	5.9743	5.9999	5.8205	6.0833	5.8622	6.3672	Arv1								
1429162_at	4.9446	5.1996	5.3863	5.1504	6.1610	5.8631	1500015A07Rik								
1429163_at	4.3565	4.2616	4.3361	3.9560	4.5639	4.0643	Dchs1								
1429164_at	6.5365	6.9535	6.7045	6.7169	6.4381	6.1033	Prss36								
1429165_at	5.7923	5.7700	5.6018	5.9003	5.7923	6.4330	3110001I22Rik								
1429166_s_at	6.4670	6.3515	4.7707	5.8654	3.4141	3.1642	Clmn								
1429167_at	5.7380	5.6545	6.3661	5.7068	5.7046	5.7780	Ccdc112								
1429168_at	2.9487	3.5958	3.0398	3.2206	3.0502	3.0204	Zbtb46								
1429169_at	4.8584	4.1999	3.4803	3.9991	4.1277	4.4244	NA								
1429170_a_at	5.4853	5.0908	5.4319	5.6134	6.0396	6.4239	Mtf1								
1429171_a_at	2.9991	2.8029	5.4956	3.9771	7.5149	7.8972	Ncapg								
1429172_a_at	3.2740	3.2406	4.9179	3.5702	6.2852	6.1128	Ncapg								
1429173_at	7.5889	7.7550	7.2564	7.4275	7.0810	6.6362	Dnase1l1								
1429174_at	7.2382	7.3253	7.1666	7.4071	7.3051	7.5534	Wdr34								
1429175_at	3.0618	2.6189	3.0130	3.0696	3.1835	3.8677	Tmem178								
1429176_at	7.1418	7.1894	6.8308	7.1869	6.2360	6.2474	Lrsam1								
1429177_x_at	3.1454	2.9023	2.9348	3.2735	2.5723	2.7545	Sox17								
1429178_at	3.8033	4.1947	3.3557	3.2012	2.6789	2.9529	Tenm3								
1429179_at	3.0852	3.1733	3.2622	3.0264	3.2631	3.2145	Colec11								
1429180_at	4.1160	4.6470	3.4989	3.4383	3.2918	3.5471	Gmpr2								
1429181_at	5.1014	4.9790	4.7830	4.8927	4.9798	4.6058	1700009P17Rik								
1429182_at	2.9787	3.0956	3.1173	2.8523	2.9858	3.0321	5430400D12Rik								
1429183_at	3.6439	3.7509	3.7177	3.5256	4.6259	5.4151	Pkp2								
1429184_at	2.9590	2.5818	2.9751	2.6232	2.6339	2.6970	NA								
1429185_at	5.4198	5.5510	4.4241	4.4502	5.8465	6.4556	Arhgef26								
1429186_a_at	5.5805	5.3358	5.6957	5.5545	6.3629	6.3210	Cdadc1								
1429187_at	7.1753	6.7755	7.5451	7.6287	7.8626	7.7719	Tmed7								
1429188_at	7.9648	7.7763	7.6673	7.7591	7.8896	8.0151	Cox11								
1429189_at	6.7079	6.9920	6.9449	6.6557	6.8042	6.3817	Arsb								
1429190_at	2.7986	2.9047	2.8690	2.8806	2.7175	2.8070	Arsb								
1429191_at	6.8959	6.6964	6.5513	6.7239	6.8065	7.2656	Dhx33								
1429192_at	8.8594	8.9914	8.4940	9.1957	7.8595	8.1955	Ski								
1429193_at	7.2351	6.6297	7.2111	6.8916	7.0874	7.2442	Ankib1								
1429194_at	8.2984	8.5976	7.2911	7.0680	6.3960	6.9374	Tigd2								
1429195_at	4.5467	4.7272	4.4734	4.4834	4.4827	4.5332	Apol6								
1429196_at	3.8980	3.9691	4.1901	3.3314	3.1081	3.3735	Rabgap1l								
1429197_s_at	5.2994	5.0400	4.2701	4.0406	2.9582	3.5081	Rabgap1l								
1429198_at	5.6888	6.0355	6.0502	6.2945	6.0367	6.3029	1810030O07Rik								
1429199_s_at	6.7687	7.0263	7.1423	6.9916	7.8798	7.9335	Saal1								
1429200_at	4.9634	4.9216	5.2199	4.9851	4.9920	5.1049	Saal1								
1429201_at	7.7700	7.6258	6.4195	6.3971	5.4180	5.6365	Cyld								
1429202_at	5.3258	5.0028	4.1105	4.3064	4.7113	4.8671	2610019N06Rik								
1429203_at	4.2494	4.1002	5.4333	4.8055	4.9446	4.8609	2410076I21Rik								
1429204_at	3.9215	4.0742	3.7177	3.5525	3.6304	3.7796	Camk2n2								
1429205_at	6.4762	6.6083	5.8379	4.8034	5.5066	5.8340	Mllt3								
1429206_at	5.5912	5.6132	4.3845	5.3550	5.7295	5.0981	Rhobtb1								
1429207_at	6.6372	6.7980	6.7188	6.5742	8.0148	7.7607	5730408K05Rik								
1429208_at	3.0422	3.2481	3.5437	3.5588	3.3527	3.4163	NA								
1429209_at	3.0914	3.6269	3.2067	3.5330	4.3247	3.7362	Col23a1								
1429210_at	3.0019	2.9666	3.0450	3.3534	4.2528	3.9168	Col23a1								
1429211_at	2.1724	2.2667	2.1633	2.1305	2.2831	2.1488	Cadm2								
1429212_a_at	5.5723	5.9250	5.6537	6.1410	5.3517	4.9517	Lrrc51								
1429213_at	5.9228	6.3002	6.5138	6.3277	7.5758	7.9719	Ndufaf6								
1429214_at	4.8073	5.5540	4.9167	5.0634	4.9641	5.1121	Adamtsl2								
1429215_at	4.6870	4.5196	4.6239	4.1089	4.3625	3.6396	2310058N22Rik								
1429216_at	6.1727	6.2223	6.1156	6.1799	6.3432	7.4182	Paqr3								
1429217_at	6.6351	6.7906	6.4110	6.4436	6.5221	6.3401	Zfp655								
1429218_at	6.6982	6.9058	7.0299	7.2981	7.1018	7.1512	Det1								
1429219_at	6.4590	6.3199	6.4006	5.1217	4.3358	4.0763	NA								
1429220_at	7.0083	7.4111	6.9073	6.9845	6.7430	6.8795	Wdr85								
1429221_at	2.8538	2.5216	2.8496	3.0073	2.7357	2.8819	Wdr85								
1429222_at	2.8683	3.5408	2.6687	2.5395	2.8011	3.0259	Pus3								
1429223_a_at	2.9090	2.5698	2.5128	2.2884	2.4429	2.4955	Hfe2								
1429224_at	3.5299	3.5766	3.3518	3.3390	3.3455	3.0527	Pnma1								
1429225_at	3.0333	2.3783	2.2843	2.7916	2.9058	2.8285	Slc24a2								
1429226_at	4.1160	4.5000	4.4718	4.5803	4.4416	4.0368	2310014F06Rik								
1429227_x_at	9.6169	9.4370	9.7344	9.0859	10.3950	10.8102	Nap1l1								
1429228_at	4.2888	3.6669	3.6160	3.2768	4.1525	4.8706	Cep128								
1429229_s_at	3.3849	3.3697	3.4398	3.1426	4.1769	4.1177	Cep128								
1429230_at	7.7290	7.6416	6.8522	7.1940	9.9854	8.5544	Klk5								
1429231_at	2.8382	2.9807	2.8866	2.8821	2.8851	2.7103	9330171B17Rik								
1429232_at	4.0351	3.2002	3.2166	3.0895	2.5261	3.2202	2610528B01Rik								
1429233_at	5.3531	5.3728	6.3962	6.1859	7.6696	8.2787	11-Sep								
1429234_s_at	6.0075	5.8137	7.3389	7.2308	8.9538	9.6046	11-Sep								
1429235_at	4.7150	5.6789	4.7059	4.6685	3.7683	3.9231	Galnt15								
1429236_at	6.7079	7.3353	6.5333	6.0421	3.1700	2.9202	Galnt15								
1429237_at	8.1536	8.2963	7.9800	8.3505	8.0920	8.2038	Stx16								
1429238_a_at	5.9574	6.3801	6.3501	6.4502	6.3243	6.2747	Ogfod2								
